,Id,Label,Interval,Giant_Component,cluster_eigen,cluster_kmeans,cluster_GN,hashtags,gruppo
418,2870332990,SimoneFioletti,,1,1,1,1,@matteosalvinimi,1
419,368241794,GirolamoNavarra,,1,1,1,1,@matteosalvinimi,1
420,1147108037204856832,Massimo94238231,,1,1,1,1,@matteosalvinimi,1
421,1224814378031243266,ananassobasso,,1,1,1,1,@matteosalvinimi,1
422,468441125,egopor,,1,2,1,1,@matteosalvinimi,1
423,2406726019,TonyCorsaro75,,1,1,1,1,@matteosalvinimi,1
424,745339531566661632,raffaellamucci1,,1,1,1,1,@matteosalvinimi,1
425,1227620202000547841,Sabrina24989702,,1,1,1,1,@matteosalvinimi,1
426,3064631746,AnSantorum,,1,1,1,1,@matteosalvinimi,1
427,802244324431892480,cange61,,1,1,1,1,@matteosalvinimi,1
428,1472872467240833029,KassambweA,,1,1,1,1,@matteosalvinimi,1
429,327002039,CruzSaara,,1,1,1,1,@matteosalvinimi,1
430,1367133530141188101,Giusepp17413380,,1,1,1,1,@matteosalvinimi,1
431,2434967064,tupacshakurmofo,,1,1,1,1,@matteosalvinimi,1
432,1189519863934586881,MauroPetricca,,1,1,1,1,@matteosalvinimi,1
433,989443812,boutouwognin,,1,1,1,1,@matteosalvinimi,1
434,2177193166,GGiulioli,,1,1,1,1,@matteosalvinimi,1
435,422194884,walterkj,,1,1,1,1,@matteosalvinimi,1
436,418837513,Valeriavale51,,1,1,1,1,@matteosalvinimi,1
437,1169506849,MaurizioTorchi2,,1,2,1,1,@matteosalvinimi,1
438,1395480489662812171,yadimonte1957,,0,0,0,0,@matteosalvinimi,1
439,1356291950194937857,Perla19733917,,1,1,1,1,@matteosalvinimi,1
440,1032227404029280256,PaolaAnna8,,1,2,1,1,@matteosalvinimi,1
441,238408467,Loianna22,,1,1,1,1,@matteosalvinimi,1
442,1194142449310011392,Azzurra54227165,,1,1,1,1,@matteosalvinimi,1
443,2944618101,hdbdvv14,,1,1,1,1,@matteosalvinimi,1
444,1244599412111945728,LAMPARA12982232,,1,1,1,1,@matteosalvinimi,1
445,1413827226106277897,paolo_cammelli,,1,1,1,1,@matteosalvinimi,1
446,2885125256,01nikks,,1,1,1,1,@matteosalvinimi,1
447,1084419894949625857,Mauro55245449,,1,1,1,1,@matteosalvinimi,1
448,848940478552821760,MJCarvalho15,,1,1,1,1,@matteosalvinimi,1
449,1210185259536531456,LucaSanarica,,1,1,1,1,@matteosalvinimi,1
450,1000119041460236288,flagello15,,1,1,1,1,@matteosalvinimi,1
451,1322010178078859264,cymarysol,,1,2,1,1,@matteosalvinimi,1
452,1308787697109131265,Dani32Mtb,,1,1,1,1,@matteosalvinimi,1
453,1330122500676653057,Gianca03868981,,1,1,1,1,@matteosalvinimi,1
454,1435548554702073856,MarcoSporticx,,1,1,1,1,@matteosalvinimi,1
455,722130030,PaoloPorcellum,,0,0,0,0,@matteosalvinimi,1
456,3176594760,giandomenic45,,1,1,1,1,@matteosalvinimi,1
457,1187380629085790208,Serena27711917,,1,2,2,1,@matteosalvinimi,1
458,1161766817196625923,JacquesLM4,,1,1,1,1,@matteosalvinimi,1
459,999719349060546560,Portodanzese1,,1,1,1,1,@matteosalvinimi,1
460,1304915840161263626,cavalierebianc5,,1,1,1,1,@matteosalvinimi,1
461,2856047433,betterthatworld,,1,1,1,1,@matteosalvinimi,1
462,1042906497129361408,Tribonacci1,,1,2,2,1,@matteosalvinimi,1
463,1152958669883084801,casino90210,,1,2,1,1,@matteosalvinimi,1
464,1333118440740163584,CampiGiovanna1,,1,1,1,1,@matteosalvinimi,1
465,4874490561,Domenic20508867,,1,1,1,1,@matteosalvinimi,1
466,1254510769351413762,Mdicintio1,,1,1,1,1,@matteosalvinimi,1
467,1152934612605296642,MentazB,,1,1,1,1,@matteosalvinimi,1
468,782340109,gattogeremia,,1,1,1,2,@matteosalvinimi,1
469,1436197225428922369,IpaziaFilosofia,,1,2,1,1,@matteosalvinimi,1
470,1162361772415836161,Ambrakey1,,1,1,1,1,@matteosalvinimi,1
471,102099568,Marcellinosuper,,1,1,1,2,@matteosalvinimi,1
472,3245489297,rolandoroccando,,1,1,1,1,@matteosalvinimi,1
473,717937073,HotmaLivio,,1,1,1,1,@matteosalvinimi,1
474,2261473278,FulviaFrongia,,1,1,1,1,@matteosalvinimi,1
475,1422828476961366020,VERONIKAPARIS13,,1,1,1,1,@matteosalvinimi,1
476,4822115279,gppwood,,1,1,1,1,@matteosalvinimi,1
477,1455295158241660934,Andrea723933531,,1,1,1,1,@matteosalvinimi,1
478,3834882442,casillo_alfonso,,1,1,1,1,@matteosalvinimi,1
479,1044174354,AccanConfeserce,,1,1,1,1,@matteosalvinimi,1
480,2327839710,NeraGiacomo,,1,2,1,1,@matteosalvinimi,1
481,598974424,SDino59,,1,1,1,1,@matteosalvinimi,1
482,887422981001162752,Domenic97633723,,1,1,1,1,@matteosalvinimi,1
483,1338515381489721349,Lorenzo20850840,,1,1,1,1,@matteosalvinimi,1
484,1432941587324092418,lucevitanatis,,1,1,1,1,@matteosalvinimi,1
485,878601535827169280,Chiaratw28,,1,1,1,1,@matteosalvinimi,1
486,1194237907910975488,Magamag76377872,,1,1,1,1,@matteosalvinimi,1
487,845248648942440448,finlandese111,,1,1,1,1,@matteosalvinimi,1
488,1222053596696666112,SalvatoreTrim13,,1,1,1,1,@matteosalvinimi,1
489,806595464841854976,iopunto67,,1,1,1,1,@matteosalvinimi,1
490,2261604322,CeoBru,,1,1,1,1,@matteosalvinimi,1
491,48971201,marcoregni,,1,1,1,2,@matteosalvinimi,1
492,4021937662,notadom1,,1,1,1,1,@matteosalvinimi,1
493,1127307619390111745,anthos555,,1,1,1,1,@matteosalvinimi,1
494,812530066978701316,Amadeus1889,,1,1,1,1,@matteosalvinimi,1
495,2788978959,KohistaniZaki,,1,1,1,1,@matteosalvinimi,1
496,1336000152675491842,FrancoBonanno62,,1,1,1,1,@matteosalvinimi,1
497,1139983379426947072,MaterTenebraru1,,1,1,1,1,@matteosalvinimi,1
498,1355598020734279686,Lo_Zio_Frank,,1,1,1,1,@matteosalvinimi,1
499,449543043,fabcal1,,1,1,1,1,@matteosalvinimi,1
500,1380967877034049539,GUERRIERA110,,1,1,1,1,@matteosalvinimi,1
501,1113081891404558342,surenpivazyan,,1,1,1,1,@matteosalvinimi,1
502,3072664510,adrianopescaro1,,1,1,1,1,@matteosalvinimi,1
503,1448018772170772486,Franko19671970,,1,1,1,1,@matteosalvinimi,1
504,1155437141977161728,Frances22891338,,1,1,1,1,@matteosalvinimi,1
505,235592742,elpinchechavo,,1,1,1,1,@matteosalvinimi,1
506,735892676306972672,cogo_giuliano,,1,1,1,1,@matteosalvinimi,1
507,1246834706710233088,Descent21011183,,0,0,0,0,@matteosalvinimi,1
508,468464928,karinwalt2,,1,1,1,1,@matteosalvinimi,1
509,2921514418,CHRISSDERINCK,,1,1,1,1,@matteosalvinimi,1
510,714525147965710337,tourette_dela,,1,1,1,1,@matteosalvinimi,1
511,1434137588718264323,Magarita_11,,1,1,1,1,@matteosalvinimi,1
512,1384240985333399556,AndreaM04399186,,1,1,1,1,@matteosalvinimi,1
513,437274444,barbara_lily,,1,1,1,1,@matteosalvinimi,1
514,3006220577,mimmoanzivino,,1,1,1,2,@matteosalvinimi,1
515,4653201923,afro_rantou,,1,1,1,1,@matteosalvinimi,1
516,1422193241638776832,MariAnn02373805,,1,1,1,1,@matteosalvinimi,1
517,2288712929,apavo75,,1,1,1,2,@matteosalvinimi,1
518,1152195212250419200,Massimo65755300,,1,1,1,1,@matteosalvinimi,1
519,1111179646538842112,marialetiziama9,,1,2,1,1,@matteosalvinimi,1
520,1144508978975690752,MagiFausto,,1,1,1,2,@matteosalvinimi,1
521,2167770916,NicolaCecca,,1,1,1,1,@matteosalvinimi,1
