Source,Target,Type,Kind,Id,Label,Interval,user_id_retweet,weight
66948741,22038676,Directed,,4507,,,22038676,0.4237536656891496
22659500,22038676,Directed,,4508,,,22038676,0.4237536656891496
1350471223608823808,22038676,Directed,,4509,,,22038676,0.4237536656891496
442083142,22038676,Directed,,4510,,,22038676,0.4237536656891496
379216502,22038676,Directed,,4511,,,22038676,0.4237536656891496
2367834092,22038676,Directed,,4512,,,22038676,0.4237536656891496
29302472,22038676,Directed,,4513,,,22038676,0.4237536656891496
458518923,22038676,Directed,,4514,,,22038676,0.4237536656891496
241868717,22038676,Directed,,4515,,,22038676,0.4237536656891496
363245601,22038676,Directed,,4516,,,22038676,0.4237536656891496
4588167082,22038676,Directed,,4517,,,22038676,0.4237536656891496
1320135575261896705,22038676,Directed,,4518,,,22038676,0.4237536656891496
1223000271367942145,22038676,Directed,,4519,,,22038676,0.4237536656891496
2234667243,22038676,Directed,,4520,,,22038676,0.4237536656891496
889603322,22038676,Directed,,4521,,,22038676,0.4237536656891496
316578097,22038676,Directed,,4522,,,22038676,0.4237536656891496
792075265,22038676,Directed,,4523,,,22038676,0.4237536656891496
1063996328,22038676,Directed,,4524,,,22038676,0.4237536656891496
1458875799617032200,22038676,Directed,,4525,,,22038676,0.4237536656891496
593089102,22038676,Directed,,4526,,,22038676,0.4237536656891496
1080150091825061888,22038676,Directed,,4527,,,22038676,0.4237536656891496
1234391628,22038676,Directed,,4528,,,22038676,0.4237536656891496
422419297,22038676,Directed,,4529,,,22038676,0.4237536656891496
1212285828,22038676,Directed,,4530,,,22038676,0.4237536656891496
744062876512575488,22038676,Directed,,4531,,,22038676,0.4237536656891496
603500693,22038676,Directed,,4532,,,22038676,0.4237536656891496
1372594979755941891,22038676,Directed,,4533,,,22038676,0.4237536656891496
1467414112938475520,22038676,Directed,,4534,,,22038676,0.4237536656891496
1159206898337533952,22038676,Directed,,4535,,,22038676,0.4237536656891496
95528446,22038676,Directed,,4536,,,22038676,0.4237536656891496
1032957709514158080,1203597456031834113,Directed,,4537,,,1203597456031834113,0.028592375366568914
1168502677,22038676,Directed,,4538,,,22038676,0.4237536656891496
1473772324453335042,22038676,Directed,,4539,,,22038676,0.4237536656891496
610172744,22038676,Directed,,4540,,,22038676,0.4237536656891496
2416067982,22038676,Directed,,4541,,,22038676,0.4237536656891496
123854386,22038676,Directed,,4542,,,22038676,0.4237536656891496
419387573,22038676,Directed,,4543,,,22038676,0.4237536656891496
1431627661894471693,22038676,Directed,,4544,,,22038676,0.4237536656891496
1431627661894471693,1346830960566927362,Directed,,4545,,,1346830960566927362,0.0021994134897360706
2496362534,22038676,Directed,,4546,,,22038676,0.4237536656891496
2162738143,1346830960566927362,Directed,,4547,,,1346830960566927362,0.0021994134897360706
1123619893704896513,1346830960566927362,Directed,,4548,,,1346830960566927362,0.0021994134897360706
974603470090235904,22038676,Directed,,4549,,,22038676,0.4237536656891496
1346830960566927362,1346830960566927362,Directed,,4550,,,1346830960566927362,0.0021994134897360706
1019613249493495808,22038676,Directed,,4551,,,22038676,0.4237536656891496
3194573930,1203597456031834113,Directed,,4552,,,1203597456031834113,0.028592375366568914
1402578117877800964,22038676,Directed,,4553,,,22038676,0.4237536656891496
742396903,1155496557174808577,Directed,,4554,,,1155496557174808577,0.001466275659824047
1399403005,22038676,Directed,,4555,,,22038676,0.4237536656891496
267076532,22038676,Directed,,4556,,,22038676,0.4237536656891496
1435481666,22038676,Directed,,4557,,,22038676,0.4237536656891496
2298055880,1203597456031834113,Directed,,4558,,,1203597456031834113,0.028592375366568914
1303527907,22038676,Directed,,4559,,,22038676,0.4237536656891496
1407879114015526924,22038676,Directed,,4560,,,22038676,0.4237536656891496
941762372,22038676,Directed,,4561,,,22038676,0.4237536656891496
314695366,22038676,Directed,,4562,,,22038676,0.4237536656891496
2162738143,22038676,Directed,,4563,,,22038676,0.4237536656891496
942890354361163776,22038676,Directed,,4564,,,22038676,0.4237536656891496
131502557,1203597456031834113,Directed,,4565,,,1203597456031834113,0.028592375366568914
573872757,1203597456031834113,Directed,,4566,,,1203597456031834113,0.028592375366568914
494873415,1155496557174808577,Directed,,4567,,,1155496557174808577,0.001466275659824047
1351253532,1203597456031834113,Directed,,4568,,,1203597456031834113,0.028592375366568914
3296994424,1203597456031834113,Directed,,4569,,,1203597456031834113,0.028592375366568914
