Id,Label,timeset,interval,colour,giant_component,cluster_eigen,cluster_kmeans,cluster_gn,cluster_mod,hashtags,gruppo,componentnumber,modularity_class
957072768,lunedi19,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2845206706,roby011268,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3010293559,Dadazyb,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
970625209060548609,Silvio_710719,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,5,0
1456208553715380224,FedericoGielle,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1473559880053235717,RomGarg,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
448335186,giangoSGV,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1447321916314988544,ErnestUdogwu,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
763146166620057600,ZioKlint,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1322543941,daniele19921,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
15317484,mpu78,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1051911015468883968,Mirco78758600,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
910235561469923328,Raffael74738563,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
147125416,danalloydthomas,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1172571984967942146,AndreaLisi15,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1448170445212164096,Amarant91507041,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,0
582265897,AssuntaAccetto1,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
33501253,guglielmopicchi,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1314452513249275904,Miniver841,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1455237454240354306,HMartins1980,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1051906012104540161,ManfrediPotenti,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
993914552747249664,Tommaso74574650,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1263042661,marcodelucact60,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1027608429840551936,Aysha61727975,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1356156544229003265,ENRICO27218318,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
13514762,LegaSalvini,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2900789860,Noiconsalvini,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1041831000,sciantokescia,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
808738393,elvivalerio,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
992295952932225024,alessan75877023,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
449278512,verita2019,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
131126639,Gandalf1948,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1135536177602281477,animalialand,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1417503924718870529,Pierpaolo_Ast,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
830834103033458689,francoliver2,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1323946597315731456,LucasMGian,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1228368040187899906,PettazziLino,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1635753799,GVNVNCR,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
750419127655858176,Peter_Italy,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,6,0
1459980423988142085,FernanaBot,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,6,0
372518181,Rizzi2Rizzi,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,7,0
883025867714297857,MissDarcy60,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1874501234,Marco_Mandorli,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1033993296203472896,LuigiDonfrance1,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
584852671,peppe3680,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2174691850,mirellaladini,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
736231985186779136,Silvergio2377,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1166765394977275904,Laura64135537,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
917818009,silentman68,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1162441321598128128,Giusy29037023,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
827199467304673280,capand69,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
751688594545410048,carlettona,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
278743750,Marinotoma,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1364918233,petregiamp,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1156772688,Kikkablues01,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2535751839,MarySpes,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1191558961,RizziRes,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1282936026,malubor1,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
572125780,Paolo_ADP10,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
890248801428135937,Gino77979871,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1476297420757782536,SteLett82,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1160196692135821312,FabryWrath,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1331301280195731457,mariadiscozia,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1002639111205871621,Voroklimef,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
937058662950100997,ArceneLega,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3892067896,piera90393148,,,"#99cccc",0,0,0,0,"#aaaacc",@matteosalvinimi,1,8,0
872840074425184258,Riccardo_criait,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
416583838,melinacugliari,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3043617377,gsoricaro,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2252899982,JPCK72,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
2501851306,Stefaniacasp,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1464312736272297992,ArcaduAngelo,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2430808297,pier2856,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
837019878611685383,JoKakamuKazz,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
23647593,eli_carr,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1133441478536159234,Maria31420,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1380302501812047872,Lucia23670081,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
209249028,SF_RL_Featuring,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
424084271,SoniaLaVera,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
55049219,gi_welcome,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
598603007,drsmoda,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1462147370955722761,Barone_Giov,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1232250772882182150,Angelinidavide3,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1467531858384723978,Mauro0333,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
833248994390335488,UnoCheOsserva,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1854556328,PireddaMa,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1229478864,autoctoNO_it,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2747514027,Villix0407,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
847096890,Canone_Inverso_,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1430063748082020371,R_Quincy_ME,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2359406918,lellinara,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
2505226387,ernecolo67,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1302616789348691968,OrtigiaP,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
473323380,mtracca,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1393825116,Yujumuzh,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
402000991,TonusAldo,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
3366401511,monacgiov,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1156225273928527872,LuigiF97101292,,,"#99cccc",1,2,1,1,"#aaaacc",@matteosalvinimi,1,0,1
160193682,RobiScali,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
730365142454636544,Eraclanius,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1272523678140555274,ClarkKe25897431,,,"#99cccc",1,2,2,1,"#aaaacc",@matteosalvinimi,1,0,1
3159374739,venetolink,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
1427277919186038785,SnowydellaFarha,,,"#99cccc",1,1,1,1,"#aaaacc",@matteosalvinimi,1,0,1
