Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans,Colour_GN,Cluster_mod
1160196692135821312,FabryWrath,,#99cccc,1,1,1,1,#aaaacc
1331301280195731457,mariadiscozia,,#99cccc,1,1,1,1,#aaaacc
1002639111205871621,Voroklimef,,#99cccc,1,1,1,1,#aaaacc
937058662950100997,ArceneLega,,#99cccc,1,1,1,1,#aaaacc
3892067896,piera90393148,,#99cccc,0,0,0,0,#aaaacc
872840074425184258,Riccardo_criait,,#99cccc,1,1,1,1,#aaaacc
416583838,melinacugliari,,#99cccc,1,2,1,1,#aaaacc
3043617377,gsoricaro,,#99cccc,1,1,1,1,#aaaacc
2252899982,JPCK72,,#99cccc,1,2,2,1,#aaaacc
2501851306,Stefaniacasp,,#99cccc,1,1,1,1,#aaaacc
1464312736272297992,ArcaduAngelo,,#99cccc,1,1,1,1,#aaaacc
2430808297,pier2856,,#99cccc,1,2,2,1,#aaaacc
837019878611685383,JoKakamuKazz,,#99cccc,1,2,1,1,#aaaacc
23647593,eli_carr,,#99cccc,1,1,1,1,#aaaacc
1133441478536159234,Maria31420,,#99cccc,1,1,1,1,#aaaacc
1380302501812047872,Lucia23670081,,#99cccc,1,2,2,1,#aaaacc
209249028,SF_RL_Featuring,,#99cccc,1,2,1,1,#aaaacc
424084271,SoniaLaVera,,#99cccc,1,2,2,1,#aaaacc
55049219,gi_welcome,,#99cccc,1,1,1,1,#aaaacc
598603007,drsmoda,,#99cccc,1,1,1,1,#aaaacc
1462147370955722761,Barone_Giov,,#99cccc,1,1,1,1,#aaaacc
1232250772882182150,Angelinidavide3,,#99cccc,1,1,1,1,#aaaacc
1467531858384723978,Mauro0333,,#99cccc,1,1,1,1,#aaaacc
833248994390335488,UnoCheOsserva,,#99cccc,1,1,1,1,#aaaacc
1854556328,PireddaMa,,#99cccc,1,1,1,1,#aaaacc
1229478864,autoctoNO_it,,#99cccc,1,2,1,1,#aaaacc
2747514027,Villix0407,,#99cccc,1,1,1,1,#aaaacc
847096890,Canone_Inverso_,,#99cccc,1,1,1,1,#aaaacc
1430063748082020371,R_Quincy_ME,,#99cccc,1,1,1,1,#aaaacc
2359406918,lellinara,,#99cccc,1,2,1,1,#aaaacc
2505226387,ernecolo67,,#99cccc,1,1,1,1,#aaaacc
1302616789348691968,OrtigiaP,,#99cccc,1,1,1,1,#aaaacc
473323380,mtracca,,#99cccc,1,2,1,1,#aaaacc
1393825116,Yujumuzh,,#99cccc,1,1,1,1,#aaaacc
402000991,TonusAldo,,#99cccc,1,1,1,1,#aaaacc
3366401511,monacgiov,,#99cccc,1,1,1,1,#aaaacc
1156225273928527872,LuigiF97101292,,#99cccc,1,2,1,1,#aaaacc
160193682,RobiScali,,#99cccc,1,1,1,1,#aaaacc
730365142454636544,Eraclanius,,#99cccc,1,1,1,1,#aaaacc
1272523678140555274,ClarkKe25897431,,#99cccc,1,2,2,1,#aaaacc
3159374739,venetolink,,#99cccc,1,1,1,1,#aaaacc
1427277919186038785,SnowydellaFarha,,#99cccc,1,1,1,1,#aaaacc
1201166765843271682,Elicriso_,,#99cccc,1,2,1,1,#aaaacc
1326594544343900162,Paola15617884,,#99cccc,1,1,1,1,#aaaacc
1415258153508380674,GianlucaZx,,#99cccc,1,1,1,1,#aaaacc
1496843330,FiorellaAmoruso,,#99cccc,1,2,1,1,#aaaacc
2876249524,alessandro1846,,#99cccc,1,2,1,1,#aaaacc
1422298506052739083,P4411nn4U,,#99cccc,1,1,1,1,#aaaacc
1389670393,StiloMauro,,#99cccc,1,1,1,1,#aaaacc
754738337445998592,DavideOberta,,#99cccc,1,1,1,1,#aaaacc
2394684582,metaanto,,#99cccc,1,2,1,1,#aaaacc
4818612196,FartFromAmerika,,#99cccc,1,1,1,1,#aaaacc
950822483770462208,MyItaly3,,#99cccc,1,1,1,1,#aaaacc
1230138367767121921,Sicilianodoc7,,#99cccc,1,1,1,1,#aaaacc
1252461065742569474,podium28057634,,#99cccc,1,1,1,1,#aaaacc
1265307863892795393,ElGuappo6,,#99cccc,1,1,1,1,#aaaacc
1199811195013943298,Pietro12846794,,#99cccc,1,1,1,1,#aaaacc
1437693484199186435,J0k3r_Unlimited,,#99cccc,1,1,1,1,#aaaacc
1402688845,miagmarsuren,,#99cccc,1,1,1,1,#aaaacc
141509471,giulianol,,#99cccc,1,2,1,1,#aaaacc
1015918388428918784,FPennabianca,,#99cccc,1,1,1,1,#aaaacc
985189174365048833,Mascherino2,,#99cccc,1,1,1,1,#aaaacc
3292300398,27crazyfrog,,#99cccc,1,2,1,1,#aaaacc
3331059982,RicBattaglia,,#99cccc,1,1,1,1,#aaaacc
1259211173641232386,DanielePG_Z,,#99cccc,1,2,1,1,#aaaacc
1384189275722293250,Milady187242253,,#99cccc,1,1,1,1,#aaaacc
1429938235082424324,fabriziox23,,#99cccc,1,2,1,1,#aaaacc
1435036992056737810,PuntoCriticoWeb,,#99cccc,1,2,2,1,#aaaacc
1366913705989070849,Soul_Sword_Koto,,#99cccc,1,1,1,1,#aaaacc
493838022,gabrygabr,,#99cccc,1,1,1,1,#aaaacc
912792614843355138,bartesius,,#99cccc,1,2,1,1,#aaaacc
1460214484858028038,Alicestremicia,,#99cccc,1,1,1,1,#aaaacc
1396212248457236480,albertotozzi3,,#99cccc,1,1,1,1,#aaaacc
744659342738210816,muntzer_thomas,,#99cccc,1,1,1,1,#aaaacc
1342626375782555648,FedeleCrus2,,#99cccc,1,1,1,1,#aaaacc
1398701696856080385,Andrea94568144,,#99cccc,1,1,1,1,#aaaacc
3246056727,gielisTs,,#99cccc,0,0,0,0,#aaaacc
1450919237179031561,SanMasso2,,#99cccc,1,2,1,1,#aaaacc
921677278219825152,centrodestrau,,#99cccc,1,1,1,1,#aaaacc
1026494991798026241,Mila16367163,,#99cccc,1,1,1,1,#aaaacc
1064799155833487360,tetoroa,,#99cccc,1,1,1,1,#aaaacc
1351625952493768707,TuvoReal,,#99cccc,1,1,1,1,#aaaacc
714783656234057728,piergiuseppe36,,#99cccc,1,1,1,1,#aaaacc
326150500,ombrysan,,#99cccc,1,2,1,1,#aaaacc
1473971655064104965,qualunque13,,#99cccc,1,1,1,1,#aaaacc
186221116,Master2001_3,,#99cccc,1,2,1,1,#aaaacc
407747764,Marco_chp1,,#99cccc,1,1,1,1,#aaaacc
1436387038576750594,Giusepp99918361,,#99cccc,1,1,1,1,#aaaacc
57839420,gecco7,,#99cccc,1,1,1,1,#aaaacc
1026475254577807366,vendutoschifoso,,#99cccc,1,2,1,1,#aaaacc
1085622362119254016,carlossartori19,,#99cccc,1,1,1,1,#aaaacc
782329487899947008,Monik6799,,#99cccc,1,2,1,1,#aaaacc
1466402320187596801,Maryland1976,,#99cccc,1,1,1,1,#aaaacc
482306131,bastet71_,,#99cccc,1,1,1,1,#aaaacc
474071832,mementovape,,#99cccc,1,1,1,1,#aaaacc
3366460893,GabZeno,,#99cccc,1,2,2,1,#aaaacc
354778269,katakhon,,#99cccc,1,2,1,1,#aaaacc
1345309453277679616,Man58792690,,#99cccc,1,1,1,1,#aaaacc
1469591492993896450,DindyRu,,#99cccc,1,2,1,1,#aaaacc
1458064813947506688,SerenaTT58,,#99cccc,1,1,1,1,#aaaacc
1351913201324142596,Natale10587098,,#99cccc,1,1,1,1,#aaaacc
1450062950010691590,Mara1781,,#99cccc,1,2,2,1,#aaaacc
1351503026687799296,MarcoEmanueli6,,#99cccc,1,1,1,1,#aaaacc
2166592992,ZuzAntony,,#99cccc,1,2,1,1,#aaaacc
2955103529,TerlizziGerardo,,#99cccc,1,1,1,1,#aaaacc
1890600458,Silvy6701,,#99cccc,1,1,1,1,#aaaacc
585699885,raffaele_zanoli,,#99cccc,1,1,1,1,#aaaacc
1258361335240425474,Elena63623458,,#99cccc,1,1,1,1,#aaaacc
396864128,IreneAntoniazzi,,#99cccc,1,2,1,1,#aaaacc
343442484,tuscolo,,#99cccc,1,1,1,1,#aaaacc
1401911906,marco_moggio,,#99cccc,1,1,1,1,#aaaacc
1402153917123809284,Quellochenonsi1,,#99cccc,0,0,0,0,#aaaacc
273897097,gael99,,#99cccc,1,2,1,1,#aaaacc
1315234951927869441,Esterin62237731,,#99cccc,1,1,1,1,#aaaacc
984109345104449538,TerzoTempo54,,#99cccc,1,1,1,1,#aaaacc
1412396750015537156,Essere_Ignoto,,#99cccc,1,1,1,1,#aaaacc
1407948418836803585,PietroSiffi,,#99cccc,1,2,1,1,#aaaacc
1425739625474236416,NinoSantangelo7,,#99cccc,1,1,1,1,#aaaacc
1089107530247221249,Mikepub1,,#99cccc,1,1,1,1,#aaaacc
132237488,ambra208,,#99cccc,1,1,1,1,#aaaacc
471435689,HannaNikye,,#99cccc,1,2,2,1,#aaaacc
82083043,BuIISitting,,#99cccc,1,2,2,1,#aaaacc
1248365893681283073,GMartinelli76,,#99cccc,1,1,1,1,#aaaacc
